|                                                          |   ncount |              mae |             rmse |        rsq |
|:---------------------------------------------------------|---------:|-----------------:|-----------------:|-----------:|
| ('*ALL', 'Unweighted', 'Energy')                         |     2038 |      0.455101    |      0.825508    |   0.932191 |
| ('*ALL', 'Unweighted', 'Force')                          |   111198 |      0.363406    |      0.740853    |   0.917774 |
| ('*ALL', 'Unweighted', 'Stress')                         |    12228 | 221258           | 542921           |   0.874135 |
| ('*ALL', 'Weighted', 'Energy')                           |     2038 |      1.14283     |      2.6802      |   1        |
| ('*ALL', 'Weighted', 'Force')                            |   111198 |      0.955544    |      1.7172      |   0.928203 |
| ('*ALL', 'Weighted', 'Stress')                           |    12228 |      2.21258e-07 |      5.42921e-07 |   0.874135 |
| ('BCC-HCP-transition', 'Unweighted', 'Energy')           |      168 |      0.712212    |      0.787622    | -12.0582   |
| ('BCC-HCP-transition', 'Unweighted', 'Force')            |     1008 |      0.92482     |      1.46158     |  -4.96005  |
| ('BCC-HCP-transition', 'Unweighted', 'Stress')           |     1008 | 287146           | 496503           |   0.886057 |
| ('BCC-HCP-transition', 'Weighted', 'Energy')             |      168 |      1.70794     |      1.88879     | -12.0582   |
| ('BCC-HCP-transition', 'Weighted', 'Force')              |     1008 |      2.14638     |      3.39213     |  -4.96005  |
| ('BCC-HCP-transition', 'Weighted', 'Stress')             |     1008 |      2.87146e-07 |      4.96503e-07 |   0.886057 |
| ('CCMC-bcc-hcp-elastic_Jun2020', 'Unweighted', 'Energy') |     1358 |      0.580286    |      0.971407    |   0.931901 |
| ('CCMC-bcc-hcp-elastic_Jun2020', 'Unweighted', 'Force')  |     8148 |      1.00238     |      2.02159     |   0.904068 |
| ('CCMC-bcc-hcp-elastic_Jun2020', 'Unweighted', 'Stress') |     8148 | 284260           | 640144           |   0.850661 |
| ('CCMC-bcc-hcp-elastic_Jun2020', 'Weighted', 'Energy')   |     1358 |      0.80235     |      1.34315     |   0.931901 |
| ('CCMC-bcc-hcp-elastic_Jun2020', 'Weighted', 'Force')    |     8148 |      1.96788     |      3.96879     |   0.904068 |
| ('CCMC-bcc-hcp-elastic_Jun2020', 'Weighted', 'Stress')   |     8148 |      2.8426e-07  |      6.40144e-07 |   0.850661 |
| ('EOS_100', 'Unweighted', 'Energy')                      |      403 |      0.015504    |      0.017966    |   0.99965  |
| ('EOS_100', 'Unweighted', 'Force')                       |    65286 |      0.240506    |      0.314111    |   0.963443 |
| ('EOS_100', 'Unweighted', 'Stress')                      |     2418 |  19732.7         |  28257.1         |   0.999356 |
| ('EOS_100', 'Weighted', 'Energy')                        |      403 |      0.160882    |      0.186429    |   0.99965  |
| ('EOS_100', 'Weighted', 'Force')                         |    65286 |      0.739523    |      0.965849    |   0.963443 |
| ('EOS_100', 'Weighted', 'Stress')                        |     2418 |      1.97327e-08 |      2.82571e-08 |   0.999356 |
| ('MD-bcc_Te300K', 'Unweighted', 'Energy')                |       40 |      0.000523207 |      0.000711036 |   0.999995 |
| ('MD-bcc_Te300K', 'Unweighted', 'Force')                 |    15360 |      0.0785161   |      0.101269    |   0.983631 |
| ('MD-bcc_Te300K', 'Unweighted', 'Stress')                |      240 |   5172.62        |   7714.65        |   0.999944 |
| ('MD-bcc_Te300K', 'Weighted', 'Energy')                  |       40 |      3.79227     |      5.15368     |   0.999995 |
| ('MD-bcc_Te300K', 'Weighted', 'Force')                   |    15360 |      0.563377    |      0.726637    |   0.983631 |
| ('MD-bcc_Te300K', 'Weighted', 'Stress')                  |      240 |      5.17262e-09 |      7.71465e-09 |   0.999944 |
| ('liquid_mag_old', 'Unweighted', 'Energy')               |       10 |      0.19985     |      0.205633    |  -2.49857  |
| ('liquid_mag_old', 'Unweighted', 'Force')                |     3000 |      0.592431    |      0.766304    |   0.88468  |
| ('liquid_mag_old', 'Unweighted', 'Stress')               |       60 |  84572.8         | 115830           |   0.981196 |
| ('liquid_mag_old', 'Weighted', 'Energy')                 |       10 |      1.10757     |      1.13962     |  -2.49857  |
| ('liquid_mag_old', 'Weighted', 'Force')                  |     3000 |      3.83481     |      4.96029     |   0.88468  |
| ('liquid_mag_old', 'Weighted', 'Stress')                 |       60 |      8.45728e-08 |      1.1583e-07  |   0.981196 |
| ('liquid_nonmag', 'Unweighted', 'Energy')                |       51 |      0.222004    |      0.225279    |   0.987515 |
| ('liquid_nonmag', 'Unweighted', 'Force')                 |    15300 |      0.803874    |      1.05686     |   0.911395 |
| ('liquid_nonmag', 'Unweighted', 'Stress')                |      306 | 149189           | 215453           |   0.975339 |
| ('liquid_nonmag', 'Weighted', 'Energy')                  |       51 |     14.1385      |     14.3471      |   0.987515 |
| ('liquid_nonmag', 'Weighted', 'Force')                   |    15300 |      1.04256     |      1.37067     |   0.911395 |
| ('liquid_nonmag', 'Weighted', 'Stress')                  |      306 |      1.49189e-07 |      2.15453e-07 |   0.975339 |
| ('point_def', 'Unweighted', 'Energy')                    |        8 |      0.0282681   |      0.0381861   |   0.982371 |
| ('point_def', 'Unweighted', 'Force')                     |     3096 |      0.105347    |      0.204619    |   0.838252 |
| ('point_def', 'Unweighted', 'Stress')                    |       48 |   5702.81        |   8472.37        |   0.99994  |
| ('point_def', 'Weighted', 'Energy')                      |        8 |      0.48715     |      0.658069    |   0.982371 |
| ('point_def', 'Weighted', 'Force')                       |     3096 |      1.18449     |      2.30067     |   0.838252 |
| ('point_def', 'Weighted', 'Stress')                      |       48 |      5.70281e-09 |      8.47237e-09 |   0.99994  |